bairro;setor_territorial;loteamentos;fonte;snapshot
Jaraguá;Oeste;Vallée* | Jaraguá – Prolongamento (parte) | Jaraguá - Parte – Adriano Bailoni** | Jaraguá – Parte – Procópio Ribeiro | Jaraguá (parte)* | Tubalina – Setor Colônia (parte)* | Tubalina;https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
Jardim Brasília;Norte;Residencial Jardim Brasília | Residencial Jardim Brasília II | Granada15 | (continuação) | Granja | Marileusa | Jardim Brasília III | Jardim Metrópole | Jardim Brasília – Prolongamento e Setor F – Chácaras* | Jardim Brasília – Setores A, B, C e D* | Industrial* | Tietê | Granja Rezende;https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
Jardim Canaã;Oeste;Jardim Canaã II | Chácaras Bela Vista | Jardim Vica | Santo Antônio II | São Bento;https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
Jardim das Palmeiras;Oeste;São Lucas | Santo Inácio | Jardim Flórida;https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
Jardim Europa;Oeste;Parque Santo Antônio | Parque Santo Antônio II | Jardim Europa II | Jardim Itália | Cidade Verde I (parte) | Mansour I - Prolongamento;https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
Jardim Holanda;Oeste;Parque Trianon | Chácaras Jardim Holanda | Jardim das Palmeiras II | Jardim das Palmeiras III | Decisão (Reloteamento) | Paz – Jardim Holanda (Reloteamento) | Felicidade (Reloteamento) | Alegria (Reloteamento) | Ordem (Reloteamento) | Disciplina (Reloteamento) | Tolerância (Reloteamento) | Pinheiros (Reloteamento) | Victória (Reloteamento) | Residencial Vila Verde (Reloteamento) | Residencial Jardim Holanda I (Reloteamento) | Residencial Jardim Holanda II (Reloteamento) | Residencial Jardim Holanda III (Reloteamento) | Lindamar Peixoto de Souza (Reloteamento) | Terezinha Gonçalves Vilela (Reloteamento) | Morada das Palmeiras (Reloteamento) | Parque Ubatã (Reloteamento) | Smart Towers Vivamus Jardim Holanda (Reloteamento) | Smart Towers Vivamus Jardim Holanda II (Reloteamento) | Parque Unaited kingdom (Reloteamento) | Parque Univita (Reloteamento);https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
Jardim;Sul;Jardim Inconfidência (parte) (antigo City | Inconfidência5 | Uberândia)**** | Vila Real | Santa Paula Royal Park Residence | Jardim Botânico II | (continuação) | New Towers;https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
Jardim Ipanema;Leste;Residencial Juliana | Jardim Ipanema I | Jardim Ipanema II (parte) | Jardim Califórnia (parte) | Sítios de Recreio Morada dos Pássaros (parte)* | Sítios de Recreio Quintas do Bosque II (parte) | Alto Umuarama III (parte) | Comercial Aeroporto | New Goldem Ville 2;https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
Jardim Karaíba;Sul;Jardim Altamira – Altamira II (parte) | Vila dos Ipês | Itapema Sul | Jardim das Acácias | Acácias Uberlândia (parte) | Bosque Karaíba (parte) | Jardim das Acácias – Prolongamento (parte) | Jardim Inconfidência (parte) | Jardim Indaiá | Vila do Sol;https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
Jardim Patrícia;Oeste;Jardim Patrícia (parte) | Jardim Patrícia II (parte) | Moinho de Vento | Parque dos Eucaliptos (parte) | Parque dos Eucaliptos II | Aluízio de Avelar Marques (parte)** | Parque dos Eucaliptos III;https://web.archive.org/web/2/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf;https://web.archive.org/web/20240906061623/https://docs.uberlandia.mg.gov.br/wp-content/uploads/2020/12/Bairros-integrados-com-seus-respectivos-loteamentos-e-reloteamentos-do-distrito-sede.pdf
