grupo;id;url_fonte;bairro;area_total_m2;valor_anunciado
15;zapim-2879984080;https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-mansoes-aeroporto-uberlandia-mg-5000m2-id-2879984080/;Mansões Aeroporto;5000;1500000
15;zapim-2881881897;https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-mansoes-aeroporto-uberlandia-mg-5000m2-id-2881881897/;Mansões Aeroporto;5000;1500000
15;zapim-2887848182;https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-mansoes-aeroporto-uberlandia-mg-5000m2-id-2887848182/;Mansões Aeroporto;5000;1200000
15;zapim-2900965130;https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-com-cozinha-mansoes-aeroporto-uberlandia-mg-5000m2-id-2900965130/;Mansões Aeroporto;5000;1575000
15;vivar-2714355310;https://www.vivareal.com.br/imovel/lote-terreno-mansoes-aeroporto-bairros-uberlandia-5000m2-venda-RS1590000-id-2714355310/;Mansões Aeroporto;5000;1590000
15;vivar-2754957419;https://www.vivareal.com.br/imovel/lote-terreno-mansoes-aeroporto-bairros-uberlandia-5000m2-venda-RS1650000-id-2754957419/;Mansões Aeroporto;5000;1650000
15;vivar-2872960839;https://www.vivareal.com.br/imovel/lote-terreno-mansoes-aeroporto-bairros-uberlandia-5078m2-venda-RS1800000-id-2872960839/;Mansões Aeroporto;5078;1800000
15;vivar-2879977522;https://www.vivareal.com.br/imovel/lote-terreno-mansoes-aeroporto-bairros-uberlandia-5000m2-venda-RS1500000-id-2879977522/;Mansões Aeroporto;5000;1500000
15;vivar-2879984080;https://www.vivareal.com.br/imovel/lote-terreno-mansoes-aeroporto-bairros-uberlandia-5000m2-venda-RS1500000-id-2879984080/;Mansões Aeroporto;5000;1500000
15;vivar-2881881897;https://www.vivareal.com.br/imovel/lote-terreno-mansoes-aeroporto-bairros-uberlandia-5000m2-venda-RS1500000-id-2881881897/;Mansões Aeroporto;5000;1500000
16;delta-9386;https://www.deltaimoveis.com.br/comprar/Uberlandia/Area/Padrao/Distrito-Industrial/9386;Distrito Industrial;39000;11379600
16;zapim-2774915495;https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-distrito-industrial-uberlandia-mg-39150m2-id-2774915495/;Distrito Industrial;39150;11990000
17;ivann-62837;https://www.ivannegocios.com.br/comprar/Uberlandia/Terreno/Area/Jardim-Europa/62837;Jardim Europa;5581,6;2800000
17;ivann-72927;https://www.ivannegocios.com.br/comprar/Uberlandia/Terreno/Area/Jardim-Europa/72927;Jardim Europa;5581;2750000
17;elite-2185;https://eliteimobiliaria.com/imovel/terreno-lote-a-venda-5581m2-jardim-europa-uberlandia-mg-id-2185;Jardim Europa;5581;2600000
17;zapim-2636402074;https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-jardim-europa-uberlandia-mg-5582m2-id-2636402074/;Jardim Europa;5581,6;2600000
17;zapim-2765117045;https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-jardim-europa-uberlandia-mg-5581m2-id-2765117045/;Jardim Europa;5581;2600000
17;zapim-2820111324;https://www.zapimoveis.com.br/imovel/venda-terreno-lote-condominio-com-tv-a-cabo-jardim-europa-uberlandia-mg-5582m2-id-2820111324/;Jardim Europa;5582;2600000
