fetched_at;url;final_url;http_status;bytes;robots;arquivo;erro
2026-07-29T03:05:09+00:00;https://www.deltaimoveis.com.br/comprar/Uberlandia/Area/Padrao/Chacaras-Tubalina-E-Quartel/21709;https://www.deltaimoveis.com.br/comprar/Uberlandia/Area/Padrao/Chacaras-Tubalina-E-Quartel/21709;200;140442;ok (robots 200);raw/www.deltaimoveis.com.br/delta_det_21709_72abc883.html;
2026-07-29T03:05:12+00:00;https://www.deltaimoveis.com.br/comprar/Uberlandia/Area/Padrao/Chacaras-Uirapuru/42899;https://www.deltaimoveis.com.br/comprar/Uberlandia/Area/Padrao/Chacaras-Uirapuru/42899;200;133524;ok (robots 200);raw/www.deltaimoveis.com.br/delta_det_42899_781f229a.html;
2026-07-29T03:05:15+00:00;https://www.deltaimoveis.com.br/comprar/Uberlandia/Area/Padrao/Distrito-Industrial/8453;https://www.deltaimoveis.com.br/comprar/Uberlandia/Area/Padrao/Distrito-Industrial/8453;200;142945;ok (robots 200);raw/www.deltaimoveis.com.br/delta_det_8453_47b234e4.html;
2026-07-29T03:05:18+00:00;https://www.deltaimoveis.com.br/comprar/Uberlandia/Terreno/Condominio/Tocantins/29035;https://www.deltaimoveis.com.br/comprar/Uberlandia/Terreno/Condominio/Tocantins/29035;200;147793;ok (robots 200);raw/www.deltaimoveis.com.br/delta_det_29035_ad8b90cc.html;
2026-07-29T03:05:22+00:00;https://www.deltaimoveis.com.br/comprar/Uberlandia/Area/Padrao/Panorama/52035;https://www.deltaimoveis.com.br/comprar/Uberlandia/Area/Padrao/Panorama/52035;200;130351;ok (robots 200);raw/www.deltaimoveis.com.br/delta_det_52035_8773e04f.html;
2026-07-29T03:05:25+00:00;https://www.deltaimoveis.com.br/comprar/Uberlandia/Terreno/Padrao/Chacaras-Tubalina-E-Quartel/48397;https://www.deltaimoveis.com.br/comprar/Uberlandia/Terreno/Padrao/Chacaras-Tubalina-E-Quartel/48397;200;133490;ok (robots 200);raw/www.deltaimoveis.com.br/delta_det_48397_b8a2bb62.html;
2026-07-29T03:05:28+00:00;https://www.deltaimoveis.com.br/comprar/Uberlandia/Terreno/Condominio/Shopping-Park/45997;https://www.deltaimoveis.com.br/comprar/Uberlandia/Terreno/Condominio/Shopping-Park/45997;200;152962;ok (robots 200);raw/www.deltaimoveis.com.br/delta_det_45997_392553f6.html;
2026-07-29T03:05:31+00:00;https://www.deltaimoveis.com.br/comprar/Uberlandia/Area/Padrao/Chacaras-Uirapuru/42901;https://www.deltaimoveis.com.br/comprar/Uberlandia/Area/Padrao/Chacaras-Uirapuru/42901;200;131703;ok (robots 200);raw/www.deltaimoveis.com.br/delta_det_42901_9db88d5a.html;
2026-07-29T03:05:34+00:00;https://www.deltaimoveis.com.br/comprar/Uberlandia/Area/Padrao/Chacaras-Uirapuru/42904;https://www.deltaimoveis.com.br/comprar/Uberlandia/Area/Padrao/Chacaras-Uirapuru/42904;200;128479;ok (robots 200);raw/www.deltaimoveis.com.br/delta_det_42904_dd006887.html;
2026-07-29T03:05:38+00:00;https://www.deltaimoveis.com.br/comprar/Uberlandia/Area/Padrao/Chacaras-Uirapuru/42905;https://www.deltaimoveis.com.br/comprar/Uberlandia/Area/Padrao/Chacaras-Uirapuru/42905;200;135645;ok (robots 200);raw/www.deltaimoveis.com.br/delta_det_42905_1f03db29.html;
2026-07-29T03:05:41+00:00;https://www.deltaimoveis.com.br/comprar/Uberlandia/Area/Padrao/Chacaras-Uirapuru/19554;https://www.deltaimoveis.com.br/comprar/Uberlandia/Area/Padrao/Chacaras-Uirapuru/19554;200;145210;ok (robots 200);raw/www.deltaimoveis.com.br/delta_det_19554_3d5f9559.html;
2026-07-29T03:05:45+00:00;https://www.deltaimoveis.com.br/comprar/Uberlandia/Area/Padrao/Chacaras-Uirapuru/42898;https://www.deltaimoveis.com.br/comprar/Uberlandia/Area/Padrao/Chacaras-Uirapuru/42898;200;129667;ok (robots 200);raw/www.deltaimoveis.com.br/delta_det_42898_c700a4d1.html;
2026-07-29T03:05:49+00:00;https://www.deltaimoveis.com.br/comprar/Uberlandia/Area/Padrao/Tibery/45020;https://www.deltaimoveis.com.br/comprar/Uberlandia/Area/Padrao/Tibery/45020;200;147582;ok (robots 200);raw/www.deltaimoveis.com.br/delta_det_45020_a8a4b437.html;
2026-07-29T03:05:53+00:00;https://www.deltaimoveis.com.br/comprar/Uberlandia/Terreno/Padrao/Mansoes-Aeroporto/48582;https://www.deltaimoveis.com.br/comprar/Uberlandia/Terreno/Padrao/Mansoes-Aeroporto/48582;200;141926;ok (robots 200);raw/www.deltaimoveis.com.br/delta_det_48582_891295f7.html;
2026-07-29T03:05:56+00:00;https://www.deltaimoveis.com.br/comprar/Uberlandia/Area/Padrao/Area-Rural-de-Uberlandia/13483;https://www.deltaimoveis.com.br/comprar/Uberlandia/Area/Padrao/Area-Rural-de-Uberlandia/13483;200;140261;ok (robots 200);raw/www.deltaimoveis.com.br/delta_det_13483_852fe576.html;
2026-07-29T03:05:59+00:00;https://www.deltaimoveis.com.br/comprar/Uberlandia/Terreno/Condominio/Morada-do-Sol/45825;https://www.deltaimoveis.com.br/comprar/Uberlandia/Terreno/Condominio/Morada-do-Sol/45825;200;155827;ok (robots 200);raw/www.deltaimoveis.com.br/delta_det_45825_4b63596f.html;
2026-07-29T03:06:03+00:00;https://www.deltaimoveis.com.br/comprar/Uberlandia/Area/Padrao/Panorama/38129;https://www.deltaimoveis.com.br/comprar/Uberlandia/Area/Padrao/Panorama/38129;200;135974;ok (robots 200);raw/www.deltaimoveis.com.br/delta_det_38129_97c17e68.html;
2026-07-29T03:06:05+00:00;https://www.deltaimoveis.com.br/comprar/Uberlandia/Terreno/Padrao/Loteamento-Centro-Empresarial-Leste-II/47956;https://www.deltaimoveis.com.br/comprar/Uberlandia/Terreno/Padrao/Loteamento-Centro-Empresarial-Leste-II/47956;200;128864;ok (robots 200);raw/www.deltaimoveis.com.br/delta_det_47956_448ce562.html;
2026-07-29T03:06:08+00:00;https://www.deltaimoveis.com.br/comprar/Uberlandia/Terreno/Padrao/Morada-dos-Passaros/33031;https://www.deltaimoveis.com.br/comprar/Uberlandia/Terreno/Padrao/Morada-dos-Passaros/33031;200;142800;ok (robots 200);raw/www.deltaimoveis.com.br/delta_det_33031_0c56b666.html;
2026-07-29T03:06:11+00:00;https://www.deltaimoveis.com.br/comprar/Uberlandia/Terreno/Esquina/Panorama/29878;https://www.deltaimoveis.com.br/comprar/Uberlandia/Terreno/Esquina/Panorama/29878;200;138903;ok (robots 200);raw/www.deltaimoveis.com.br/delta_det_29878_3e06d2a2.html;
2026-07-29T03:06:15+00:00;https://www.deltaimoveis.com.br/comprar/Uberlandia/Terreno/Padrao/Morada-dos-Passaros/28481;https://www.deltaimoveis.com.br/comprar/Uberlandia/Terreno/Padrao/Morada-dos-Passaros/28481;200;137732;ok (robots 200);raw/www.deltaimoveis.com.br/delta_det_28481_afa90211.html;
2026-07-29T03:06:20+00:00;https://www.deltaimoveis.com.br/comprar/Uberlandia/Terreno/Padrao/Morada-dos-Passaros/51991;https://www.deltaimoveis.com.br/comprar/Uberlandia/Terreno/Padrao/Morada-dos-Passaros/51991;200;137082;ok (robots 200);raw/www.deltaimoveis.com.br/delta_det_51991_09b8e69e.html;
2026-07-29T03:06:23+00:00;https://www.deltaimoveis.com.br/comprar/Uberlandia/Terreno/Padrao/Loteamento-Empresarial-Taiaman/51520;https://www.deltaimoveis.com.br/comprar/Uberlandia/Terreno/Padrao/Loteamento-Empresarial-Taiaman/51520;200;141167;ok (robots 200);raw/www.deltaimoveis.com.br/delta_det_51520_41c28f22.html;
